Date,Open,High,Low,Close,Volume
2010-04-19,140.0,138.0,138.0,138.0,820.0
2010-04-20,138.0,140.0,136.0,140.0,860.0
2010-04-21,140.0,142.0,138.0,138.0,2600.0
2010-04-22,138.0,140.0,138.0,140.0,1300.0
2010-04-25,130.0,140.0,138.0,138.0,2380.0
2010-04-26,128.0,139.0,130.0,130.0,840.0
2010-04-27,124.0,130.0,128.0,128.0,150.0
2010-04-28,124.0,126.0,124.0,124.0,90.0
2010-05-09,122.0,124.0,124.0,124.0,190.0
2010-05-10,122.0,122.0,122.0,122.0,1010.0
2010-05-11,122.0,122.0,120.0,122.0,600.0
2010-05-13,124.0,124.0,122.0,122.0,330.0
2010-05-16,122.0,124.0,124.0,124.0,100.0
2010-05-17,124.0,122.0,122.0,122.0,10.0
2010-06-02,128.0,124.0,120.0,124.0,410.0
2010-06-08,130.0,128.0,126.0,128.0,30.0
2010-06-09,130.0,130.0,130.0,130.0,40.0
2010-06-10,130.0,130.0,130.0,130.0,20.0
2010-06-14,132.0,130.0,130.0,130.0,20.0
2010-06-15,144.0,132.0,132.0,132.0,10.0
2010-06-16,142.0,144.0,134.0,144.0,310.0
2010-06-20,140.0,142.0,142.0,142.0,40.0
2010-06-21,140.0,140.0,140.0,140.0,70.0
2010-06-24,138.0,140.0,140.0,140.0,200.0
2010-06-28,142.0,138.0,138.0,138.0,60.0
2010-06-29,140.0,142.0,140.0,142.0,180.0
2010-06-30,140.0,140.0,140.0,140.0,280.0
2010-07-01,137.0,140.0,140.0,140.0,240.0
2010-07-04,134.0,138.0,136.0,137.0,180.0
2010-07-05,130.0,136.0,134.0,134.0,110.0
2010-07-07,129.0,133.0,130.0,130.0,130.0
2010-07-08,129.0,129.0,129.0,129.0,80.0
2010-07-11,129.0,129.0,129.0,129.0,200.0
2010-07-12,133.0,129.0,129.0,129.0,240.0
2010-07-13,133.0,133.0,131.0,133.0,840.0
2010-07-15,133.0,133.0,133.0,133.0,210.0
2010-07-19,133.0,133.0,133.0,133.0,720.0
2010-07-20,135.0,133.0,133.0,133.0,160.0
