Date,Open,High,Low,Close,Volume
2019-08-06,235.0,294.0,260.1,261.0,11686.0
2019-08-07,224.0,248.0,235.0,235.0,2070.0
2019-08-08,233.0,247.0,212.0,224.0,226165.0
2019-08-11,228.0,233.0,218.0,233.0,124216.0
2019-08-12,225.0,233.0,227.0,228.0,64760.0
2019-08-13,222.0,230.0,225.0,225.0,42565.0
2019-08-14,222.0,227.0,222.0,222.0,44230.0
2019-08-15,217.0,226.0,220.0,222.0,23050.0
2019-08-18,222.0,225.0,217.0,217.0,42847.0
2019-08-19,217.0,228.0,213.0,222.0,37300.0
2019-08-20,217.0,222.0,216.0,217.0,34270.0
2019-08-21,217.0,222.0,216.0,217.0,20900.0
2019-08-22,214.0,219.0,216.0,217.0,19505.0
2019-08-25,206.0,217.0,210.0,214.0,29840.0
2019-08-26,209.0,213.0,206.0,206.0,32565.0
2019-08-27,206.0,214.0,201.0,209.0,18681.0
2019-08-28,203.0,211.0,205.0,206.0,12359.0
2019-08-29,190.0,208.0,203.0,203.0,16538.0
2019-09-01,188.0,203.0,189.0,190.0,34280.0
2019-09-02,191.0,192.0,185.0,188.0,24421.0
2019-09-03,192.0,194.0,180.0,191.0,31610.0
2019-09-04,190.0,194.0,187.0,192.0,22253.0
2019-09-05,184.0,196.0,188.0,190.0,21245.0
2019-09-08,181.0,191.0,184.0,184.0,10870.0
2019-09-09,177.0,189.0,180.0,181.0,16670.0
2019-09-10,177.0,182.0,173.0,177.0,26971.0
2019-09-11,173.0,180.0,175.0,177.0,11801.0
2019-09-12,168.0,177.0,173.0,173.0,13435.0
2019-09-15,167.0,174.0,163.0,168.0,30110.0
2019-09-16,178.0,171.0,163.0,167.0,16910.0
2019-09-17,182.0,178.0,164.0,178.0,48995.0
2019-09-18,175.0,183.0,173.0,182.0,47604.0
2019-09-19,166.0,183.0,174.0,175.0,26918.0
2019-09-22,164.0,176.0,165.0,166.0,21650.0
2019-09-23,166.0,170.0,164.0,164.0,11060.0
2019-09-24,164.0,166.0,163.0,166.0,7500.0
2019-09-25,164.0,166.0,163.0,164.0,9021.0
2019-09-26,163.0,166.0,162.0,164.0,14685.0
2019-09-29,175.0,168.0,162.0,163.0,11170.0
2019-09-30,170.0,175.0,161.0,175.0,7200.0
2019-10-01,169.0,171.0,166.0,170.0,9170.0
2019-10-02,169.0,172.0,166.0,169.0,4870.0
2019-10-03,170.0,171.0,168.0,169.0,10135.0
2019-10-10,168.0,170.0,167.0,170.0,1190.0
2019-10-14,170.0,170.0,167.0,168.0,4210.0
2019-10-15,169.0,170.0,166.0,170.0,3010.0
2019-10-16,170.0,171.0,168.0,169.0,7550.0
2019-10-17,170.0,170.0,168.0,170.0,5016.0
2019-10-20,167.0,170.0,166.0,170.0,6485.0
2019-10-21,170.0,171.0,166.0,167.0,5490.0
2019-10-22,176.0,176.0,165.0,170.0,11250.0
2019-10-23,176.0,178.0,168.0,176.0,9410.0
2019-10-24,172.0,180.0,172.0,176.0,13375.0
2019-10-31,167.0,178.0,172.0,172.0,5557.0
2019-11-03,171.0,173.0,167.0,167.0,8860.0
2019-11-04,168.0,171.0,167.0,171.0,7155.0
2019-11-05,168.0,170.0,167.0,168.0,5800.0
2019-11-06,165.0,168.0,166.0,168.0,7960.0
2019-11-07,167.0,168.0,165.0,165.0,6310.0
2019-11-10,168.0,170.0,161.0,167.0,27650.0
2019-11-11,164.0,170.0,162.0,168.0,14090.0
2019-11-12,164.0,170.0,162.0,164.0,5830.0
2019-11-13,165.0,166.0,162.0,164.0,9030.0
2019-11-14,161.0,165.0,162.0,165.0,9490.0
2019-11-17,157.0,165.0,160.0,161.0,25505.0
2019-11-18,157.0,160.0,157.0,157.0,12501.0
2019-11-19,157.0,160.0,157.0,157.0,10900.0
2019-11-20,156.0,162.0,156.0,157.0,14129.0
2019-11-21,155.0,159.0,153.0,156.0,11525.0
2019-11-24,153.0,157.0,153.0,155.0,4198.0
2019-11-25,153.0,161.0,152.0,153.0,8200.0
2019-11-26,154.0,158.0,153.0,153.0,3290.0
2019-11-27,153.0,158.0,152.0,154.0,7536.0
2019-11-28,152.0,156.0,153.0,153.0,4560.0
2019-12-01,154.0,156.0,152.0,152.0,4670.0
2019-12-02,156.0,155.0,152.0,154.0,6855.0
2019-12-03,158.0,158.0,152.0,156.0,17288.0
2019-12-04,159.0,160.0,154.0,158.0,15530.0
2019-12-05,158.0,159.0,157.0,159.0,6396.0
2019-12-08,159.0,159.0,155.0,158.0,4675.0
2019-12-09,159.0,165.0,156.0,159.0,18532.0
2019-12-10,161.0,164.0,158.0,159.0,9841.0
2019-12-11,164.0,164.0,158.0,161.0,7739.0
2019-12-12,161.0,172.0,160.0,164.0,17220.0
2019-12-15,159.0,166.0,160.0,161.0,9800.0
2019-12-16,159.0,162.0,158.0,159.0,7002.0
2019-12-17,159.0,161.0,157.0,159.0,7050.0
2019-12-18,159.0,160.0,157.0,159.0,3970.0
2019-12-19,157.0,160.0,157.0,159.0,7430.0
2019-12-22,161.0,162.0,156.0,157.0,3441.0
2019-12-23,159.0,161.0,158.0,161.0,12075.0
2019-12-24,158.0,162.0,159.0,159.0,7450.0
2019-12-25,156.0,160.0,155.0,158.0,17919.0
2019-12-26,155.0,158.0,155.0,156.0,4210.0
2019-12-29,155.0,157.0,155.0,155.0,7130.0
2019-12-30,155.0,156.0,154.0,155.0,4390.0
2019-12-31,155.0,157.0,155.0,155.0,5275.0
2020-01-01,154.0,158.0,155.0,155.0,5750.0
2020-01-02,156.0,158.0,154.0,154.0,7730.0
2020-01-05,157.0,158.0,153.0,156.0,13555.0
2020-01-06,161.0,160.0,156.0,157.0,8065.0
2020-01-07,160.0,163.0,157.0,161.0,30351.0
2020-01-08,162.0,165.0,155.0,160.0,8622.0
2020-01-09,162.0,162.0,155.0,162.0,11165.0
2020-01-12,168.0,165.0,159.0,162.0,16376.0
2020-01-13,164.0,176.0,162.0,168.0,52225.0
2020-01-14,165.0,171.0,164.0,164.0,14062.0
2020-01-15,166.0,169.0,163.0,165.0,15530.0
2020-01-16,170.0,169.0,165.0,166.0,19150.0
2020-01-19,164.0,175.0,166.0,170.0,33706.0
2020-01-20,163.0,173.0,164.0,164.0,16290.0
2020-01-21,160.0,167.0,162.0,163.0,12648.0
2020-01-22,155.0,164.0,160.0,160.0,11250.0
2020-01-23,159.0,160.0,155.0,155.0,17300.0
2020-01-26,164.0,159.0,153.0,159.0,5570.0
2020-01-27,159.0,164.0,155.0,164.0,4780.0
2020-01-28,157.0,164.0,157.0,159.0,8022.0
2020-01-29,157.0,161.0,157.0,157.0,9312.0
2020-01-30,156.0,159.0,155.0,157.0,10140.0
2020-02-02,162.0,158.0,155.0,156.0,11565.0
2020-02-03,160.0,166.0,156.0,162.0,24065.0
2020-02-04,159.0,168.0,158.0,160.0,22661.0
2020-02-05,159.0,161.0,158.0,159.0,5790.0
2020-02-06,154.0,161.0,157.0,159.0,5660.0
2020-02-09,156.0,160.0,154.0,154.0,18586.0
2020-02-10,159.0,157.0,155.0,156.0,17834.0
2020-02-11,156.0,161.0,155.0,159.0,9244.0
2020-02-12,155.0,160.0,156.0,156.0,13725.0
2020-02-13,157.0,158.0,155.0,155.0,8976.0
2020-02-16,159.0,157.0,154.0,157.0,6805.0
2020-02-17,158.0,161.0,156.0,159.0,12580.0
2020-02-18,155.0,160.0,157.0,158.0,9270.0
2020-02-19,158.0,159.0,154.0,155.0,12405.0
2020-02-20,158.0,160.0,155.0,158.0,16040.0
2020-02-23,161.0,164.0,156.0,158.0,29445.0
2020-02-24,165.0,165.0,159.0,161.0,18885.0
2020-02-25,166.0,165.0,158.0,165.0,25630.0
2020-02-26,164.0,168.0,163.0,166.0,32051.0
2020-02-27,159.0,168.0,161.0,164.0,11284.0
2020-03-01,155.0,165.0,158.0,159.0,17030.0
2020-03-02,156.0,160.0,155.0,155.0,6115.0
2020-03-03,156.0,158.0,152.0,156.0,16114.0
2020-03-04,153.0,159.0,153.0,156.0,21815.0
2020-03-05,148.0,156.0,152.0,153.0,10223.0
2020-03-10,153.0,153.0,143.0,148.0,6260.0
2020-03-11,148.0,155.0,147.0,153.0,17032.0
2020-03-12,147.0,153.0,147.0,148.0,13645.0
2020-03-15,149.0,149.0,142.0,147.0,10170.0
2020-03-16,143.0,150.0,141.0,149.0,10865.0
2020-03-17,141.0,147.0,143.0,143.0,11763.0
2020-03-18,140.0,143.0,139.0,141.0,7791.0
2020-03-19,141.0,144.0,139.0,140.0,4420.0
2020-03-22,137.0,142.0,141.0,141.0,500.0
2020-05-12,127.0,139.0,137.0,137.0,230.0
2020-06-29,130.0,135.0,125.0,127.0,3241.0
2020-06-30,134.0,130.0,125.0,130.0,840.0
