Date,Open,High,Low,Close,Volume
2021-09-02,373.8,339.9,309.0,339.9,433.0
2021-09-05,411.1,373.8,333.9,373.8,301.0
2021-09-06,452.2,411.1,373.8,411.1,199.0
2021-09-07,497.4,452.2,414.9,452.2,179.0
2021-09-08,547.1,497.4,443.2,497.4,227.0
2021-09-09,601.8,547.1,497.4,547.1,350.0
2021-09-12,661.9,601.8,547.1,601.8,708.0
2021-09-13,728.0,661.9,598.6,661.9,1065.0
2021-09-14,699.0,728.0,675.1,728.0,13308.0
2021-09-15,675.0,787.8,690.0,699.0,240404.0
2021-09-16,618.0,700.0,662.0,675.0,51516.0
2021-09-20,618.0,701.7,616.0,618.0,47368.0
2021-09-21,630.0,630.0,580.0,618.0,39957.0
2021-09-22,612.0,645.0,608.0,630.0,27893.0
2021-09-23,592.0,642.0,610.0,612.0,29409.0
2021-09-26,564.0,615.0,590.0,592.0,21174.0
2021-09-27,535.0,600.0,563.5,564.0,22185.0
2021-09-28,548.0,564.0,534.0,535.0,22765.0
2021-09-29,535.0,552.0,522.0,548.0,14159.0
2021-09-30,515.0,555.0,535.0,535.0,16819.0
2021-10-03,507.0,533.0,515.0,515.0,13889.0
2021-10-04,507.0,522.0,498.0,507.0,11806.0
2021-10-05,519.0,525.0,500.0,507.0,10969.0
2021-10-06,513.0,529.9,498.0,519.0,10042.0
2021-10-10,553.4,530.0,510.0,513.0,14570.0
2021-10-11,548.0,555.0,510.0,553.4,13470.0
2021-10-17,537.0,550.0,536.0,548.0,5022.0
2021-10-18,516.0,550.0,530.0,537.0,8684.0
2021-10-19,520.0,526.3,510.0,516.0,11334.0
2021-10-20,514.0,538.5,510.0,520.0,12141.0
2021-10-21,510.0,530.1,511.0,514.0,10829.0
2021-10-24,528.0,515.0,510.0,510.0,10055.0
2021-10-25,551.0,528.0,510.0,528.0,11378.0
2021-10-26,570.0,554.8,528.0,551.0,14381.0
2021-10-27,559.0,602.0,540.0,570.0,24056.0
2021-10-28,575.0,570.0,550.0,559.0,14170.0
2021-10-31,568.0,575.5,554.0,575.0,14710.0
2021-11-01,571.0,584.0,562.0,568.0,11316.0
2021-11-02,575.0,579.0,557.0,571.0,13358.0
2021-11-03,570.0,585.0,570.0,575.0,14706.0
2021-11-08,543.1,576.0,566.0,570.0,11528.0
2021-11-09,529.5,565.0,537.1,543.1,17574.0
2021-11-11,522.0,543.0,520.1,529.5,10660.0
2021-11-14,528.0,530.0,512.0,522.0,14682.0
2021-11-15,555.0,530.0,511.7,528.0,16665.0
2021-11-16,546.1,560.0,522.1,555.0,25677.0
2021-11-17,543.0,565.0,545.0,546.1,18903.0
2021-11-18,528.1,555.0,534.9,543.0,15448.0
2021-11-21,529.0,538.0,527.0,528.1,12375.0
2021-11-22,520.0,535.0,520.0,529.0,13136.0
2021-11-23,520.0,529.0,518.2,520.0,11153.0
2021-11-24,519.0,523.0,506.2,520.0,15039.0
2021-11-25,507.0,520.0,510.0,519.0,9434.0
2021-11-28,500.0,520.0,495.0,507.0,16345.0
2021-11-29,500.1,510.0,497.0,500.0,12780.0
2021-11-30,503.0,505.0,490.2,500.1,8776.0
2021-12-01,495.1,510.0,498.0,503.0,6502.0
2021-12-02,475.0,510.0,495.0,495.1,7894.0
2021-12-05,478.0,500.0,472.0,475.0,13407.0
2021-12-06,480.0,481.0,460.0,478.0,12284.0
2021-12-07,471.0,494.0,470.0,480.0,10016.0
2021-12-08,464.9,485.0,468.0,471.0,5877.0
2021-12-09,441.0,470.0,457.0,464.9,7180.0
2021-12-12,428.0,467.0,441.0,441.0,9765.0
2021-12-13,453.0,434.5,424.4,428.0,10004.0
2021-12-14,448.5,453.9,430.0,453.0,4255.0
2021-12-15,441.0,480.0,448.1,448.5,13047.0
2021-12-16,435.0,442.0,433.0,441.0,7646.0
2021-12-20,443.0,441.0,430.7,435.0,6260.0
2021-12-21,465.0,444.0,427.0,443.0,7755.0
2021-12-22,487.0,468.0,441.0,465.0,14021.0
2021-12-23,535.7,493.0,456.1,487.0,18998.0
2021-12-26,518.1,535.7,484.0,535.7,53959.0
2021-12-27,513.0,575.0,516.1,518.1,57000.0
2021-12-28,515.0,518.5,500.0,513.0,11579.0
2021-12-29,515.0,520.0,506.0,515.0,9993.0
