Date,Open,High,Low,Close,Volume
2013-11-14,108.0,110.0,110.0,110.0,953986.0
2014-03-20,108.0,108.0,108.0,108.0,8890.0
2014-03-23,110.0,108.0,108.0,108.0,6944.0
2014-04-30,110.0,110.0,110.0,110.0,10000.0
2014-05-19,110.0,110.0,110.0,110.0,3000.0
2014-05-26,110.0,110.0,110.0,110.0,7833.0
2014-06-25,110.0,110.0,110.0,110.0,150000.0
2014-07-06,102.0,110.0,110.0,110.0,100000.0
2014-08-25,105.0,108.0,102.0,102.0,62000.0
2014-10-12,112.0,105.0,104.0,105.0,30750.0
2014-10-19,112.0,112.0,107.0,112.0,55556.0
2014-12-01,104.0,112.0,112.0,112.0,7980.0
2014-12-07,104.0,110.0,104.0,104.0,60000.0
2014-12-08,104.0,104.0,104.0,104.0,25000.0
2015-02-11,560.0,104.0,104.0,104.0,90000.0
2017-06-15,549.0,560.0,560.0,560.0,22250.0
2017-06-27,549.0,549.0,549.0,549.0,2285.0
2017-07-16,549.0,549.0,549.0,549.0,438264.0
2017-08-24,540.0,549.0,549.0,549.0,20475.0
2017-11-07,420.0,540.0,540.0,540.0,9114.0
2018-03-11,420.0,420.0,420.0,420.0,3000.0
2018-03-18,420.0,420.0,420.0,420.0,43750.0
2018-05-15,300.0,420.0,420.0,420.0,6600.0
2018-09-04,350.0,300.0,300.0,300.0,1333.0
2018-09-27,350.0,350.0,350.0,350.0,116388.0
2018-11-18,285.0,350.0,350.0,350.0,13966.0
2019-03-05,285.0,285.0,285.0,285.0,6861.0
2019-03-31,156.0,285.0,285.0,285.0,9110.0
2019-12-23,153.0,156.0,156.0,156.0,14964.0
2020-07-09,334.0,153.0,153.0,153.0,5001.0
2020-11-04,322.0,334.0,334.0,334.0,100000.0
2020-11-05,322.0,328.0,322.0,322.0,1000.0
2020-11-22,322.0,322.0,322.0,322.0,4240.0
2020-11-23,322.0,322.0,322.0,322.0,9920.0
2020-12-15,316.0,322.0,322.0,322.0,200.0
2020-12-29,310.0,316.0,316.0,316.0,150000.0
2020-12-30,304.0,310.0,310.0,310.0,157860.0
2021-01-06,298.0,304.0,304.0,304.0,25000.0
2021-01-07,293.0,298.0,298.0,298.0,10000.0
2021-01-10,288.0,293.0,293.0,293.0,10000.0
2021-01-11,283.0,288.0,288.0,288.0,15000.0
2021-01-12,278.0,283.0,283.0,283.0,20000.0
2021-01-13,278.0,278.0,278.0,278.0,20000.0
2021-01-18,278.0,278.0,278.0,278.0,456500.0
2021-01-19,278.0,278.0,278.0,278.0,390000.0
2021-01-20,278.0,278.0,278.0,278.0,321674.0
2021-01-21,278.0,278.0,278.0,278.0,43647.0
2021-01-24,278.0,278.0,278.0,278.0,70000.0
2021-01-25,278.0,278.0,278.0,278.0,302100.0
2021-01-26,273.0,278.0,278.0,278.0,100000.0
2021-01-28,273.0,273.0,273.0,273.0,174000.0
2021-02-09,275.0,273.0,273.0,273.0,50200.0
2021-02-15,275.0,275.0,275.0,275.0,3000.0
2021-03-10,275.0,275.0,275.0,275.0,184840.0
2021-03-14,275.0,275.0,275.0,275.0,90000.0
2021-03-15,275.0,275.0,275.0,275.0,75000.0
2021-04-21,275.0,275.0,275.0,275.0,38500.0
2021-04-22,275.0,275.0,275.0,275.0,38500.0
2021-04-28,275.0,275.0,275.0,275.0,17020.0
2021-05-09,275.0,275.0,275.0,275.0,75000.0
2021-05-13,275.0,275.0,275.0,275.0,173744.0
2021-05-17,275.0,275.0,275.0,275.0,5000.0
2021-06-20,275.0,275.0,275.0,275.0,255.0
2021-06-21,275.0,275.0,275.0,275.0,1850.0
2021-07-15,413.0,275.0,275.0,275.0,100.0
2021-10-25,413.0,413.0,413.0,413.0,2450.0
2021-12-01,413.0,413.0,413.0,413.0,15.0
2021-12-06,413.0,413.0,413.0,413.0,11197.0
