Date,Open,High,Low,Close,Volume
2010-04-28,307.0,301.0,301.0,301.0,25.0
2010-05-17,307.0,307.0,307.0,307.0,156.0
2010-09-05,307.0,307.0,307.0,307.0,17751.0
2010-09-06,313.0,307.0,307.0,307.0,9498.0
2010-09-26,313.0,313.0,313.0,313.0,33.0
2010-09-27,307.0,313.0,313.0,313.0,52.0
2010-10-31,313.0,307.0,307.0,307.0,60.0
2010-11-16,307.0,313.0,313.0,313.0,24.0
2010-11-24,307.0,307.0,307.0,307.0,3676.0
2011-02-22,256.0,307.0,307.0,307.0,677.0
2012-02-01,261.0,256.0,256.0,256.0,10.0
2012-02-13,202.0,261.0,261.0,261.0,10.0
2012-09-13,218.0,202.0,202.0,202.0,10.0
2012-10-15,226.0,218.0,206.0,218.0,57.0
2012-10-17,209.0,226.0,222.0,226.0,41.0
2013-06-23,213.0,209.0,209.0,209.0,36.0
2013-09-05,217.0,213.0,213.0,213.0,15.0
2014-02-25,217.0,217.0,217.0,217.0,108.0
2014-03-20,204.0,217.0,217.0,217.0,10.0
2014-07-13,208.0,204.0,200.0,204.0,167.0
2014-11-20,212.0,208.0,208.0,208.0,663.0
2014-11-23,224.0,212.0,212.0,212.0,72.0
2015-03-02,235.0,224.0,216.0,224.0,220.0
2015-03-04,210.0,235.0,235.0,235.0,1420.0
2015-04-23,220.0,210.0,210.0,210.0,21279.0
2015-05-25,224.0,220.0,220.0,220.0,5451.0
2015-07-22,228.0,224.0,224.0,224.0,14553.0
2015-09-03,236.0,228.0,228.0,228.0,3654.0
2015-09-29,215.0,236.0,232.0,236.0,4305.0
2016-06-28,223.0,215.0,215.0,215.0,450.0
2016-11-21,231.0,223.0,219.0,223.0,1195.0
2016-12-21,239.0,231.0,227.0,231.0,37.0
2017-01-19,251.0,239.0,235.0,239.0,111.0
2017-03-29,261.0,251.0,243.0,251.0,17675.0
2017-04-03,276.0,261.0,256.0,261.0,160.0
2017-04-25,286.0,276.0,266.0,276.0,562.0
2017-05-11,246.0,286.0,281.0,286.0,318.0
2017-07-25,255.0,246.0,242.0,246.0,1499.0
2017-11-06,0.0,255.0,250.0,255.0,1468.0
2017-11-26,0.0,265.0,260.0,265.0,43.0
2018-02-04,308.0,280.0,270.0,280.0,71.0
2018-02-12,250.0,308.0,285.0,308.0,1806.0
2018-05-27,0.0,250.0,250.0,250.0,10.0
2018-07-16,270.0,260.0,255.0,260.0,1913.0
2018-08-06,280.0,270.0,265.0,270.0,201.0
2018-08-09,290.0,280.0,275.0,280.0,1778.0
2018-08-12,304.0,290.0,285.0,290.0,190.0
2018-08-21,319.0,304.0,304.0,304.0,10.0
2018-09-06,334.0,319.0,319.0,319.0,10.0
2018-09-17,364.0,334.0,334.0,334.0,10.0
2018-09-23,378.0,364.0,350.0,364.0,496.0
2018-09-30,415.0,378.0,371.0,378.0,148.0
2018-11-15,435.0,415.0,415.0,415.0,10.0
2019-01-02,456.0,435.0,435.0,435.0,10.0
2019-01-08,478.0,456.0,456.0,456.0,10.0
2019-01-14,501.0,478.0,478.0,478.0,10.0
2019-01-30,440.0,501.0,501.0,501.0,10.0
2019-05-06,484.0,440.0,420.0,440.0,1403.0
2019-06-12,484.0,484.0,462.0,484.0,3010.0
2019-07-04,484.0,484.0,484.0,484.0,8.0
2019-07-07,484.0,484.0,484.0,484.0,2.0
2019-07-08,484.0,484.0,484.0,484.0,62000.0
2019-07-15,493.0,484.0,484.0,484.0,8000.0
2019-07-31,527.0,493.0,493.0,493.0,10.0
2019-08-07,575.0,527.0,517.0,527.0,20.0
2019-08-11,603.0,575.0,553.0,575.0,229.0
2019-08-26,627.0,603.0,603.0,603.0,10.0
2019-09-16,658.0,627.0,615.0,627.0,20.0
2019-09-23,658.0,658.0,658.0,658.0,10.0
2019-11-05,723.0,658.0,658.0,658.0,40000.0
2019-11-06,795.0,723.0,671.0,723.0,50.0
2019-11-07,858.0,795.0,737.0,795.0,3285.0
2019-11-13,943.0,858.0,810.0,858.0,24357.0
2019-11-14,1037.0,943.0,875.0,943.0,50.0
2019-11-17,1140.0,1037.0,961.0,1037.0,50.0
2019-11-18,1254.0,1140.0,1057.0,1140.0,150.0
2019-11-19,1379.0,1254.0,1162.0,1254.0,348.0
2019-11-20,1516.0,1379.0,1279.0,1379.0,659.0
2019-11-21,1365.0,1516.0,1406.0,1516.0,7993.0
2019-11-24,1349.0,1607.0,1365.0,1365.0,4851.0
2019-11-25,1430.0,1392.0,1265.0,1349.0,1776.0
2019-11-26,1331.0,1430.0,1375.0,1430.0,30.0
2019-11-27,1252.0,1402.0,1295.0,1331.0,852.0
2019-11-28,1203.0,1357.0,1250.0,1252.0,683.0
2019-12-01,1256.0,1230.0,1203.0,1203.0,1340.0
2019-12-02,1188.0,1256.0,1159.0,1256.0,7589.0
2019-12-03,1201.0,1236.0,1188.0,1188.0,440.0
2019-12-04,1263.0,1220.0,1165.0,1201.0,934.0
2019-12-05,1297.0,1288.0,1200.0,1263.0,4426.0
2019-12-08,1360.0,1297.0,1238.0,1297.0,1605.0
2019-12-09,1450.0,1426.0,1312.0,1360.0,2559.0
2019-12-10,1562.0,1454.0,1360.0,1450.0,3151.0
2019-12-11,1490.0,1562.0,1471.0,1562.0,5950.0
2019-12-12,1550.0,1592.0,1490.0,1490.0,3249.0
2019-12-15,1536.0,1607.0,1518.0,1550.0,4138.0
2019-12-16,1596.0,1580.0,1522.0,1536.0,2500.0
2019-12-17,1628.0,1687.0,1512.0,1596.0,6126.0
2019-12-18,1622.0,1699.0,1566.0,1628.0,6936.0
2019-12-19,1591.0,1660.0,1582.0,1622.0,2208.0
2019-12-22,1610.0,1599.0,1562.0,1591.0,2248.0
2019-12-23,1616.0,1673.0,1560.0,1610.0,2072.0
2019-12-24,1619.0,1698.0,1550.0,1616.0,11942.0
2019-12-25,1754.0,1645.0,1600.0,1619.0,485.0
2019-12-26,1929.0,1754.0,1587.0,1754.0,7732.0
2019-12-29,1989.0,1929.0,1760.0,1929.0,6968.0
2019-12-30,1999.0,2037.0,1928.0,1989.0,12438.0
2019-12-31,1970.0,2048.0,1950.0,1999.0,6471.0
2020-01-01,1980.0,2019.0,1930.0,1970.0,4384.0
2020-01-02,2005.0,2008.0,1932.0,1980.0,980.0
2020-01-05,1964.0,2058.0,1950.0,2005.0,3169.0
2020-01-06,1980.0,2004.0,1930.0,1964.0,1354.0
2020-01-07,1942.0,2062.0,1880.0,1980.0,889.0
2020-01-08,1969.0,2018.0,1942.0,1942.0,1201.0
2020-01-09,2003.0,1980.0,1941.0,1969.0,614.0
2020-01-12,2110.0,2035.0,1921.0,2003.0,7497.0
2020-01-13,2321.0,2190.0,2009.0,2110.0,4341.0
2020-01-14,2500.0,2321.0,2073.0,2321.0,7548.0
2020-01-15,2600.0,2546.0,2367.0,2500.0,3571.0
2020-01-16,2596.0,2750.0,2495.0,2600.0,3865.0
2020-01-19,2450.0,2700.0,2499.0,2596.0,1573.0
2020-01-20,2459.0,2580.0,2402.0,2450.0,4387.0
2020-01-21,2429.0,2500.0,2374.0,2459.0,3518.0
2020-01-22,2397.0,2500.0,2401.0,2429.0,2112.0
2020-01-23,2357.0,2461.0,2351.0,2397.0,3480.0
2020-01-26,2489.0,2445.0,2321.0,2357.0,1760.0
2020-01-27,2410.0,2489.0,2383.0,2489.0,1202.0
2020-01-28,2458.0,2499.0,2410.0,2410.0,1364.0
2020-01-29,2400.0,2458.0,2410.0,2458.0,355.0
2020-01-30,2405.0,2455.0,2398.0,2400.0,1530.0
2020-02-02,2396.0,2440.0,2400.0,2405.0,1940.0
2020-02-03,2361.0,2415.0,2392.0,2396.0,930.0
2020-02-04,2465.0,2367.0,2361.0,2361.0,445.0
2020-02-05,2472.0,2505.0,2400.0,2465.0,3230.0
2020-02-06,2458.0,2584.0,2465.0,2472.0,3050.0
2020-02-09,2479.0,2500.0,2413.0,2458.0,479.0
2020-02-10,2428.0,2500.0,2450.0,2479.0,75.0
2020-02-11,2486.0,2527.0,2428.0,2428.0,1025.0
2020-02-12,2549.0,2563.0,2412.0,2486.0,2450.0
2020-02-13,2601.0,2670.0,2515.0,2549.0,4242.0
2020-02-16,2760.0,2745.0,2549.0,2601.0,8993.0
2020-02-17,2783.0,2770.0,2650.0,2760.0,5704.0
2020-02-18,2800.0,2804.0,2700.0,2783.0,4433.0
2020-02-19,2747.0,2815.0,2728.0,2800.0,2007.0
2020-02-20,3007.0,2809.0,2747.0,2747.0,2160.0
2020-02-23,2963.0,3021.0,2744.0,3007.0,5152.0
2020-02-24,3119.0,2978.0,2890.0,2963.0,2329.0
2020-02-25,3105.0,3130.0,2930.0,3119.0,2005.0
2020-02-26,2950.0,3181.0,3100.0,3105.0,1315.0
2020-02-27,2851.0,3098.0,2900.0,2950.0,689.0
2020-03-01,2794.0,3009.0,2851.0,2851.0,2755.0
2020-03-02,2720.0,2800.0,2794.0,2794.0,480.0
2020-03-03,2743.0,2800.0,2687.0,2720.0,1502.0
2020-03-04,2665.0,2743.0,2487.0,2743.0,2951.0
2020-03-05,2410.0,2760.0,2548.0,2665.0,647.0
2020-03-10,2651.0,2612.0,2410.0,2410.0,760.0
2020-03-11,2610.0,2651.0,2416.0,2651.0,1672.0
2020-03-12,2487.0,2649.0,2471.0,2610.0,5462.0
2020-03-15,2498.0,2558.0,2411.0,2487.0,11816.0
2020-03-16,2300.0,2531.0,2440.0,2498.0,2415.0
2020-03-17,2425.0,2460.0,2280.0,2300.0,1288.0
2020-03-18,2440.0,2425.0,2250.0,2425.0,1337.0
2020-03-19,2400.0,2480.0,2310.0,2440.0,1488.0
2020-03-22,2352.0,2400.0,2392.0,2400.0,80.0
2020-05-13,2494.0,2352.0,2352.0,2352.0,10.0
2020-06-29,2743.0,2494.0,2259.0,2494.0,1315.0
2020-06-30,2850.0,2743.0,2480.0,2743.0,340.0
2020-07-01,2565.0,2850.0,2797.0,2850.0,50.0
2020-07-05,2640.0,2793.0,2565.0,2565.0,7408.0
2020-07-06,2750.0,2650.0,2565.0,2640.0,2363.0
2020-07-07,2800.0,2799.0,2681.0,2750.0,2257.0
2020-07-08,2740.0,2800.0,2695.0,2800.0,1360.0
2020-07-09,2744.0,2745.0,2690.0,2740.0,1262.0
2020-07-12,2796.0,2800.0,2686.0,2744.0,2113.0
2020-07-13,2760.0,2796.0,2701.0,2796.0,120.0
2020-07-14,2815.0,2850.0,2760.0,2760.0,286.0
2020-07-15,2860.0,2815.0,2799.0,2815.0,499.0
2020-07-16,2707.0,2860.0,2760.0,2860.0,875.0
2020-07-20,2800.0,2917.0,2707.0,2707.0,645.0
2020-07-21,2760.0,2816.0,2720.0,2800.0,670.0
2020-07-22,2800.0,2800.0,2745.0,2760.0,1014.0
2020-07-23,2830.0,2802.0,2780.0,2800.0,690.0
2020-07-26,2800.0,2830.0,2770.0,2830.0,310.0
2020-07-27,2744.0,2830.0,2744.0,2800.0,1935.0
2020-07-28,2711.0,2755.0,2744.0,2744.0,240.0
2020-07-29,2725.0,2744.0,2710.0,2711.0,1693.0
2020-07-30,2671.0,2725.0,2710.0,2725.0,150.0
2020-08-02,2701.0,2700.0,2671.0,2671.0,577.0
2020-08-03,2690.0,2725.0,2671.0,2701.0,1318.0
2020-08-05,2655.0,2701.0,2655.0,2690.0,860.0
2020-08-06,2700.0,2690.0,2655.0,2655.0,135.0
2020-08-09,2740.0,2700.0,2650.0,2700.0,740.0
2020-08-10,2675.0,2740.0,2700.0,2740.0,440.0
2020-08-11,2656.0,2700.0,2675.0,2675.0,1044.0
2020-08-12,2658.0,2680.0,2637.0,2656.0,130.0
2020-08-13,2703.0,2660.0,2658.0,2658.0,195.0
2020-08-16,2730.0,2703.0,2650.0,2703.0,660.0
2020-08-17,2770.0,2740.0,2720.0,2730.0,670.0
2020-08-18,2711.0,2770.0,2705.0,2770.0,990.0
2020-08-19,2760.0,2760.0,2705.0,2711.0,395.0
2020-08-20,2750.0,2760.0,2760.0,2760.0,20.0
2020-08-23,2802.0,2760.0,2750.0,2750.0,90.0
2020-08-24,2800.0,2861.0,2753.0,2802.0,835.0
2020-08-25,2789.0,2820.0,2750.0,2800.0,250.0
2020-08-26,2755.0,2800.0,2750.0,2789.0,665.0
2020-08-27,2810.0,2756.0,2750.0,2755.0,170.0
2020-08-30,2880.0,2810.0,2790.0,2810.0,350.0
2020-08-31,2940.0,2902.0,2820.0,2880.0,1230.0
2020-09-02,2900.0,3009.0,2870.0,2940.0,1586.0
2020-09-03,2995.0,2998.0,2900.0,2900.0,180.0
2020-09-06,3082.0,3000.0,2898.0,2995.0,2190.0
2020-09-07,3390.0,3111.0,2936.0,3082.0,1919.0
2020-09-08,3495.0,3390.0,3100.0,3390.0,2080.0
2020-09-09,3370.0,3540.0,3392.0,3495.0,1828.0
2020-09-10,3275.0,3514.0,3362.0,3370.0,600.0
2020-09-13,3271.0,3350.0,3240.0,3275.0,1185.0
2020-09-14,3225.0,3340.0,3210.0,3271.0,935.0
2020-09-15,3295.0,3336.0,3225.0,3225.0,1604.0
2020-09-16,3300.0,3354.0,3289.0,3295.0,655.0
2020-09-17,3259.0,3320.0,3290.0,3300.0,570.0
2020-09-21,3300.0,3280.0,3235.0,3259.0,768.0
2020-09-22,3330.0,3390.0,3265.0,3300.0,2615.0
2020-09-23,3600.0,3366.0,3257.0,3330.0,1332.0
2020-09-24,3600.0,3640.0,3350.0,3600.0,5435.0
2020-09-27,3545.0,3650.0,3530.0,3600.0,639.0
2020-09-28,3448.0,3567.0,3396.0,3545.0,660.0
2020-09-29,3406.0,3480.0,3412.0,3448.0,429.0
2020-09-30,3480.0,3450.0,3405.0,3406.0,632.0
2020-10-01,3512.0,3543.0,3466.0,3480.0,370.0
2020-10-04,3475.0,3550.0,3520.0,3512.0,573.0
2020-10-05,3495.0,3500.0,3475.0,3475.0,290.0
2020-10-06,3500.0,3500.0,3450.0,3495.0,438.0
2020-10-07,3435.0,3524.0,3450.0,3500.0,470.0
2020-10-11,3440.0,3457.0,3435.0,3435.0,565.0
2020-10-12,3445.0,3450.0,3440.0,3440.0,110.0
2020-10-13,3436.0,3445.0,3380.0,3445.0,200.0
2020-10-14,3450.0,3445.0,3430.0,3436.0,80.0
2020-10-15,3500.0,3470.0,3405.0,3450.0,1250.0
2020-10-18,3500.0,3500.0,3445.0,3500.0,535.0
2020-10-19,3500.0,3500.0,3465.0,3500.0,320.0
2020-10-20,3596.0,3570.0,3475.0,3500.0,1172.0
2020-10-21,3624.0,3600.0,3475.0,3596.0,630.0
2020-10-22,3580.0,3641.0,3600.0,3624.0,800.0
2020-10-28,3620.0,3645.0,3580.0,3580.0,30.0
2020-10-29,3656.0,3640.0,3590.0,3620.0,876.0
2020-11-01,3725.0,3668.0,3650.0,3656.0,655.0
2020-11-02,3869.0,3845.0,3660.0,3725.0,1750.0
2020-11-03,3890.0,3869.0,3799.0,3869.0,1044.0
2020-11-04,3888.0,3900.0,3869.0,3890.0,435.0
2020-11-05,4275.0,3890.0,3850.0,3888.0,1080.0
2020-11-08,4500.0,4276.0,3888.0,4275.0,5058.0
2020-11-09,4950.0,4701.0,4273.0,4500.0,1670.0
2020-11-10,5445.0,4950.0,4500.0,4950.0,2478.0
2020-11-11,5989.0,5445.0,5049.0,5445.0,2680.0
2020-11-12,6587.0,5989.0,5553.0,5989.0,3543.0
2020-11-18,7242.0,6587.0,6108.0,6587.0,4067.0
2020-11-19,6801.0,7245.0,6916.0,7242.0,2787.0
2020-11-22,6900.0,7966.0,6518.0,6801.0,2398.0
2020-11-23,7450.0,7400.0,6200.0,6900.0,1728.0
2020-11-24,8000.0,7590.0,6900.0,7450.0,4075.0
2020-11-25,7506.0,8189.0,7505.0,8000.0,1866.0
2020-11-26,7500.0,7996.0,7407.0,7506.0,2131.0
2020-11-29,6550.0,7809.0,7400.0,7500.0,4532.0
2020-11-30,6255.0,6600.0,6300.0,6550.0,2879.0
2020-12-01,6125.0,6800.0,6003.0,6255.0,1759.0
2020-12-02,5700.0,6600.0,6027.0,6125.0,2003.0
2020-12-03,5292.0,6200.0,5700.0,5700.0,1479.0
2020-12-06,5615.0,5700.0,5262.0,5292.0,1732.0
2020-12-07,5400.0,5619.0,4996.0,5615.0,2238.0
2020-12-08,5135.0,5505.0,5350.0,5400.0,895.0
2020-12-09,5240.0,5340.0,5100.0,5135.0,1333.0
2020-12-10,5150.0,5240.0,5100.0,5240.0,887.0
2020-12-13,5640.0,5300.0,5105.0,5150.0,693.0
2020-12-14,5500.0,5665.0,5150.0,5640.0,2502.0
2020-12-15,5575.0,6103.0,5500.0,5500.0,1944.0
2020-12-16,5423.0,5775.0,5451.0,5575.0,1816.0
2020-12-17,5200.0,5686.0,5355.0,5423.0,700.0
2020-12-20,5060.0,5420.0,5110.0,5200.0,1533.0
2020-12-21,5270.0,5196.0,4799.0,5060.0,1937.0
2020-12-22,5250.0,5320.0,5161.0,5270.0,1510.0
2020-12-23,5304.0,5355.0,5190.0,5250.0,729.0
2020-12-24,5350.0,5304.0,5065.0,5304.0,370.0
2020-12-27,5190.0,5454.0,5150.0,5350.0,3478.0
2020-12-28,5191.0,5295.0,5139.0,5190.0,976.0
2020-12-29,5710.0,5293.0,5185.0,5191.0,6040.0
2020-12-30,6281.0,5710.0,5250.0,5710.0,7215.0
2020-12-31,6909.0,6281.0,5700.0,6281.0,6518.0
2021-01-03,6895.0,6909.0,6406.0,6909.0,3202.0
2021-01-04,6470.0,7254.0,6777.0,6895.0,535.0
2021-01-05,6400.0,6887.0,6210.0,6470.0,3071.0
2021-01-06,6740.0,6848.0,6290.0,6400.0,1680.0
2021-01-07,6988.0,7000.0,6411.0,6740.0,2589.0
2021-01-10,6950.0,7151.0,6874.0,6988.0,4839.0
