Date,Open,High,Low,Close,Volume
2013-09-19,78.0,80.0,80.0,80.0,590.0
2013-09-26,77.0,79.0,78.0,78.0,3328.0
2013-09-29,79.0,77.0,77.0,77.0,100.0
2013-10-31,81.0,79.0,79.0,79.0,50.0
2013-12-22,82.0,81.0,80.0,81.0,510.0
2013-12-23,83.0,82.0,82.0,82.0,96.0
2013-12-24,81.0,83.0,83.0,83.0,10.0
2013-12-26,82.0,82.0,81.0,81.0,1618.0
2013-12-29,80.0,82.0,82.0,82.0,86.0
2014-01-05,81.0,82.0,80.0,80.0,2786.0
2014-01-06,82.0,81.0,81.0,81.0,463.0
2014-01-08,81.0,82.0,82.0,82.0,68.0
2014-01-13,84.0,81.0,81.0,81.0,20.0
2014-01-23,84.0,84.0,82.0,84.0,142.0
2014-01-27,85.0,84.0,83.0,84.0,257.0
2014-02-02,86.0,85.0,85.0,85.0,10.0
2014-02-03,94.0,86.0,86.0,86.0,217.0
2014-02-05,103.0,94.0,87.0,94.0,806.0
2014-02-06,109.0,103.0,95.0,103.0,758.0
2014-02-09,113.0,109.0,105.0,109.0,2099.0
2014-02-10,111.0,113.0,111.0,113.0,390.0
2014-02-11,107.0,113.0,111.0,111.0,656.0
2014-02-12,107.0,109.0,107.0,107.0,171.0
2014-02-13,101.0,109.0,107.0,107.0,600.0
2014-02-16,100.0,105.0,101.0,101.0,2456.0
2014-02-17,102.0,104.0,100.0,100.0,2050.0
2014-02-18,100.0,102.0,102.0,102.0,60.0
2014-02-26,101.0,100.0,100.0,100.0,611.0
2014-03-03,97.0,101.0,101.0,101.0,20.0
2014-03-05,96.0,100.0,97.0,97.0,715.0
2014-03-06,96.0,96.0,96.0,96.0,41.0
2014-03-09,95.0,96.0,95.0,96.0,307.0
2014-03-24,96.0,95.0,95.0,95.0,920.0
2014-03-26,96.0,96.0,96.0,96.0,21.0
2014-04-06,97.0,96.0,95.0,96.0,355.0
2014-04-10,96.0,97.0,97.0,97.0,30.0
2014-04-20,94.0,96.0,96.0,96.0,180.0
2014-04-21,95.0,97.0,94.0,94.0,2378.0
2014-04-22,96.0,95.0,95.0,95.0,104.0
2014-04-28,90.0,96.0,96.0,96.0,42.0
2014-05-12,87.0,95.0,89.0,90.0,2267.0
2014-05-13,85.0,89.0,87.0,87.0,1112.0
2014-05-15,88.0,87.0,85.0,85.0,247.0
2014-05-18,90.0,92.0,86.0,88.0,2643.0
2014-05-19,88.0,90.0,89.0,90.0,1009.0
2014-05-20,91.0,89.0,88.0,88.0,140.0
2014-05-21,100.0,91.0,89.0,91.0,572.0
2014-05-22,102.0,100.0,92.0,100.0,10486.0
2014-05-25,99.0,103.0,100.0,102.0,12368.0
2014-05-26,99.0,102.0,99.0,99.0,6319.0
2014-05-27,100.0,102.0,98.0,99.0,2404.0
2014-05-28,98.0,100.0,100.0,100.0,1458.0
2014-06-01,96.0,98.0,98.0,98.0,41.0
2014-06-02,96.0,97.0,96.0,96.0,983.0
2014-06-03,98.0,98.0,96.0,96.0,1886.0
2014-06-04,95.0,98.0,96.0,98.0,2015.0
2014-06-09,95.0,97.0,94.0,95.0,2890.0
2014-06-10,94.0,96.0,95.0,95.0,731.0
2014-06-12,95.0,94.0,93.0,94.0,1619.0
2014-06-15,94.0,95.0,95.0,95.0,619.0
2014-06-16,0.0,94.0,94.0,94.0,40.0
2014-06-18,96.0,98.0,96.0,97.0,1146.0
2014-06-19,90.0,98.0,96.0,96.0,4528.0
2014-06-23,88.0,95.0,90.0,90.0,2660.0
2014-06-24,87.0,89.0,87.0,88.0,4057.0
2014-06-25,88.0,87.0,86.0,87.0,579.0
2014-06-26,90.0,88.0,86.0,88.0,893.0
2014-06-29,92.0,91.0,89.0,90.0,8560.0
2014-06-30,91.0,92.0,91.0,92.0,362.0
2014-07-01,90.0,92.0,90.0,91.0,9943.0
2014-07-02,99.0,91.0,89.0,90.0,19513.0
2014-07-03,108.0,99.0,90.0,99.0,51980.0
2014-07-06,115.0,108.0,98.0,108.0,62745.0
2014-07-07,113.0,117.0,108.0,115.0,84731.0
2014-07-08,112.0,115.0,107.0,113.0,38215.0
2014-07-09,107.0,112.0,109.0,112.0,5167.0
2014-07-10,105.0,111.0,105.0,107.0,15721.0
2014-07-13,106.0,109.0,103.0,105.0,10585.0
2014-07-14,108.0,109.0,104.0,106.0,12019.0
2014-07-15,105.0,108.0,105.0,108.0,9203.0
2014-07-16,114.0,108.0,103.0,105.0,5438.0
2014-07-17,115.0,115.0,105.0,114.0,22251.0
2014-07-20,118.0,120.0,113.0,115.0,15662.0
2014-07-21,116.0,121.0,117.0,118.0,28660.0
2014-07-22,119.0,122.0,116.0,116.0,14551.0
2014-07-23,130.0,121.0,115.0,119.0,17867.0
2014-07-24,143.0,130.0,117.0,130.0,43902.0
2014-07-27,136.0,143.0,131.0,143.0,26097.0
2014-07-28,140.0,141.0,136.0,136.0,4490.0
2014-07-30,134.0,144.0,135.0,140.0,29352.0
2014-08-03,130.0,138.0,134.0,134.0,160.0
2014-08-04,125.0,134.0,130.0,130.0,1529.0
2014-08-05,119.0,130.0,125.0,125.0,5967.0
2014-08-06,117.0,124.0,115.0,119.0,6520.0
2014-08-07,117.0,121.0,117.0,117.0,1971.0
2014-08-12,116.0,117.0,113.0,117.0,3641.0
2014-08-13,122.0,118.0,115.0,116.0,3946.0
2014-08-14,110.0,125.0,118.0,122.0,5749.0
2014-08-18,109.0,120.0,110.0,110.0,8196.0
2014-08-19,107.0,109.0,108.0,109.0,3000.0
2014-08-20,103.0,107.0,107.0,107.0,760.0
2014-08-24,101.0,105.0,101.0,103.0,3922.0
2014-08-25,100.0,103.0,101.0,101.0,149.0
2014-08-26,104.0,105.0,100.0,100.0,1692.0
2014-08-27,106.0,104.0,102.0,104.0,1233.0
