Date,Open,High,Low,Close,Volume
2019-06-12,143.0,150.0,150.0,150.0,50.0
2019-06-17,136.0,143.0,143.0,143.0,50.0
2019-06-18,128.0,136.0,136.0,136.0,40.0
2019-07-02,122.0,130.0,128.0,128.0,100.0
2019-07-03,114.0,122.0,122.0,122.0,50.0
2019-07-04,103.0,116.0,114.0,114.0,150.0
2019-07-21,99.0,109.0,103.0,103.0,130.0
2019-07-23,94.0,101.0,99.0,99.0,20.0
2019-07-24,85.0,95.0,94.0,94.0,100.0
2019-07-25,78.0,90.0,85.0,85.0,3500.0
2019-07-28,78.0,84.0,77.0,78.0,821.0
2019-07-29,73.0,78.0,72.0,78.0,1900.0
2019-07-30,70.0,77.0,73.0,73.0,3410.0
2019-07-31,72.0,72.0,68.0,70.0,3041.0
2019-08-01,71.0,72.0,70.0,72.0,600.0
2019-08-04,68.0,73.0,71.0,71.0,1120.0
2019-08-05,68.0,71.0,68.0,68.0,350.0
2019-08-06,68.0,69.0,68.0,68.0,520.0
2019-08-07,68.0,69.0,68.0,68.0,200.0
2019-08-08,67.0,68.0,68.0,68.0,600.0
2019-08-11,65.0,68.0,65.0,67.0,590.0
2019-08-12,67.0,66.0,65.0,65.0,860.0
2019-08-13,66.0,69.0,65.0,67.0,750.0
2019-08-14,66.0,68.0,66.0,66.0,610.0
2019-08-15,65.0,67.0,66.0,66.0,570.0
2019-08-18,65.0,65.0,64.0,65.0,450.0
2019-08-19,64.0,66.0,65.0,65.0,250.0
2019-08-20,62.0,65.0,64.0,64.0,500.0
2019-08-21,62.0,63.0,62.0,62.0,200.0
2019-08-22,62.0,62.0,61.0,62.0,550.0
2019-08-25,60.0,63.0,62.0,62.0,150.0
2019-08-26,58.0,61.0,58.0,60.0,490.0
2019-08-27,59.0,61.0,58.0,58.0,760.0
2019-08-28,61.0,59.0,59.0,59.0,300.0
2019-08-29,60.0,61.0,59.0,61.0,1440.0
2019-09-01,60.0,61.0,60.0,60.0,190.0
2019-09-02,62.0,61.0,60.0,60.0,250.0
2019-09-03,62.0,62.0,59.0,62.0,400.0
2019-09-04,60.0,62.0,60.0,62.0,400.0
2019-09-05,57.0,61.0,60.0,60.0,700.0
2019-09-08,55.0,59.0,57.0,57.0,400.0
2019-09-09,55.0,58.0,54.0,55.0,560.0
2019-09-10,55.0,56.0,55.0,55.0,1080.0
2019-09-11,54.0,55.0,55.0,55.0,50.0
2019-09-12,54.0,56.0,54.0,54.0,920.0
2019-09-15,51.0,54.0,53.0,54.0,350.0
2019-09-16,52.0,53.0,50.0,51.0,800.0
2019-09-17,53.0,52.0,52.0,52.0,50.0
2019-09-18,54.0,53.0,53.0,53.0,100.0
2019-09-19,53.0,54.0,52.0,54.0,280.0
2019-09-22,51.0,53.0,52.0,53.0,150.0
2019-09-23,51.0,52.0,51.0,51.0,300.0
2019-09-24,52.0,51.0,50.0,51.0,250.0
2019-09-25,51.0,52.0,51.0,52.0,180.0
2019-09-26,51.0,52.0,50.0,51.0,300.0
2019-09-29,54.0,51.0,50.0,51.0,200.0
2019-09-30,55.0,54.0,52.0,54.0,250.0
2019-10-01,56.0,55.0,55.0,55.0,50.0
2019-10-02,56.0,56.0,54.0,56.0,100.0
2019-10-10,57.0,57.0,56.0,56.0,750.0
2019-10-16,58.0,58.0,57.0,57.0,190.0
2019-10-17,58.0,58.0,58.0,58.0,50.0
2019-10-20,57.0,59.0,58.0,58.0,190.0
2019-10-21,56.0,57.0,57.0,57.0,100.0
2019-10-24,54.0,57.0,54.0,56.0,600.0
2019-10-31,55.0,56.0,54.0,54.0,600.0
2019-11-03,55.0,55.0,54.0,55.0,190.0
2019-11-04,54.0,57.0,55.0,55.0,1250.0
2019-11-05,52.0,54.0,54.0,54.0,50.0
2019-11-06,52.0,53.0,52.0,52.0,100.0
2019-11-07,54.0,52.0,50.0,52.0,1340.0
2019-11-10,53.0,54.0,53.0,54.0,150.0
2019-11-11,51.0,55.0,53.0,53.0,390.0
2019-11-12,52.0,55.0,51.0,51.0,250.0
2019-11-13,52.0,53.0,50.0,52.0,540.0
2019-11-14,54.0,52.0,51.0,52.0,280.0
2019-11-17,54.0,55.0,53.0,54.0,620.0
2019-11-18,56.0,55.0,53.0,54.0,360.0
2019-11-19,56.0,56.0,52.0,56.0,1350.0
2019-11-21,55.0,57.0,56.0,56.0,150.0
2019-11-24,53.0,55.0,55.0,55.0,172.0
2019-11-25,50.0,54.0,53.0,53.0,600.0
2019-11-26,52.0,52.0,50.0,50.0,250.0
2019-11-27,53.0,52.0,51.0,52.0,300.0
2019-11-28,53.0,53.0,53.0,53.0,150.0
2019-12-02,53.0,53.0,51.0,53.0,570.0
2019-12-03,52.0,53.0,53.0,53.0,50.0
2019-12-04,51.0,52.0,51.0,52.0,250.0
2019-12-05,54.0,52.0,51.0,51.0,670.0
2019-12-08,54.0,54.0,51.0,54.0,1520.0
2019-12-09,54.0,55.0,54.0,54.0,250.0
2019-12-10,55.0,55.0,53.0,54.0,650.0
2019-12-11,55.0,55.0,53.0,55.0,160.0
2019-12-12,60.0,55.0,55.0,55.0,700.0
2019-12-15,63.0,60.0,55.0,60.0,840.0
2019-12-16,61.0,64.0,60.0,63.0,2470.0
2019-12-17,61.0,62.0,61.0,61.0,210.0
2019-12-18,59.0,62.0,60.0,61.0,1000.0
2019-12-19,57.0,61.0,59.0,59.0,750.0
2019-12-22,57.0,59.0,57.0,57.0,1045.0
2019-12-23,57.0,58.0,56.0,57.0,690.0
2019-12-24,53.0,58.0,57.0,57.0,60.0
2019-12-25,55.0,56.0,53.0,53.0,3250.0
2019-12-26,56.0,55.0,53.0,55.0,391.0
2019-12-29,58.0,57.0,55.0,56.0,450.0
2019-12-30,55.0,58.0,57.0,58.0,250.0
2019-12-31,53.0,59.0,55.0,55.0,840.0
2020-01-01,57.0,54.0,53.0,53.0,880.0
2020-01-02,56.0,58.0,54.0,57.0,1180.0
2020-01-05,58.0,56.0,56.0,56.0,50.0
2020-01-06,59.0,58.0,56.0,58.0,890.0
2020-01-07,57.0,60.0,59.0,59.0,590.0
2020-01-08,58.0,58.0,57.0,57.0,210.0
2020-01-09,57.0,58.0,57.0,58.0,150.0
2020-01-12,58.0,58.0,56.0,57.0,800.0
2020-01-13,60.0,58.0,56.0,58.0,1240.0
2020-01-14,61.0,60.0,58.0,60.0,690.0
2020-01-15,62.0,61.0,59.0,61.0,550.0
2020-01-16,62.0,62.0,59.0,62.0,2010.0
2020-01-19,61.0,63.0,61.0,62.0,4930.0
2020-01-20,58.0,61.0,61.0,61.0,100.0
2020-01-21,57.0,61.0,57.0,58.0,950.0
2020-01-22,58.0,59.0,57.0,57.0,460.0
2020-01-23,59.0,59.0,57.0,58.0,1050.0
2020-01-26,59.0,59.0,57.0,59.0,665.0
2020-01-27,58.0,60.0,59.0,59.0,640.0
2020-01-28,58.0,60.0,58.0,58.0,1420.0
2020-01-29,58.0,58.0,57.0,58.0,300.0
2020-01-30,57.0,59.0,57.0,58.0,310.0
