Date,Open,High,Low,Close,Volume
2015-12-10,438.0,399.0,363.0,399.0,80.0
2015-12-13,463.0,438.0,406.0,438.0,650.0
2015-12-15,481.0,463.0,446.0,463.0,30.0
2015-12-17,499.0,481.0,472.0,481.0,20.0
2015-12-21,518.0,499.0,490.0,499.0,30.0
2015-12-22,558.0,518.0,508.0,518.0,20.0
2015-12-23,569.0,558.0,528.0,558.0,40.0
2015-12-24,625.0,569.0,569.0,569.0,10.0
2015-12-27,687.0,625.0,597.0,625.0,360.0
2015-12-29,595.0,687.0,656.0,687.0,190.0
2016-01-03,606.0,595.0,584.0,595.0,20.0
2016-01-07,630.0,606.0,606.0,606.0,10.0
2016-01-11,654.0,630.0,618.0,630.0,40.0
2016-01-13,719.0,654.0,642.0,654.0,20.0
2016-01-14,733.0,719.0,686.0,719.0,90.0
2016-01-17,747.0,733.0,733.0,733.0,50.0
2016-02-18,761.0,747.0,747.0,747.0,10.0
2016-02-22,806.0,761.0,761.0,761.0,10.0
2016-02-25,822.0,806.0,776.0,806.0,30.0
2016-03-13,854.0,822.0,822.0,822.0,10.0
2016-04-03,871.0,854.0,838.0,854.0,20.0
2016-04-10,914.0,871.0,871.0,871.0,10.0
2016-04-12,932.0,914.0,914.0,914.0,10.0
2016-05-09,978.0,932.0,932.0,932.0,10.0
2016-05-10,1066.0,978.0,978.0,978.0,10.0
2016-05-11,1108.0,1066.0,1026.0,1066.0,30.0
2016-05-12,1163.0,1108.0,1087.0,1108.0,20.0
2016-05-16,1221.0,1163.0,1163.0,1163.0,20.0
2016-05-17,1333.0,1221.0,1221.0,1221.0,10.0
2016-05-18,1386.0,1333.0,1282.0,1333.0,30.0
2016-05-19,1469.0,1386.0,1359.0,1386.0,20.0
2016-05-22,1615.0,1469.0,1413.0,1469.0,30.0
2016-05-24,1647.0,1615.0,1542.0,1615.0,210.0
2016-05-29,1712.0,1647.0,1647.0,1647.0,20.0
2016-05-30,1780.0,1712.0,1679.0,1712.0,20.0
2016-05-31,1958.0,1780.0,1746.0,1780.0,20.0
2016-06-01,2076.0,1958.0,1815.0,1958.0,60.0
2016-06-02,2159.0,2076.0,1997.0,2076.0,30.0
2016-06-05,2374.0,2159.0,2117.0,2159.0,24.0
2016-06-06,2611.0,2374.0,2202.0,2374.0,130.0
2016-06-07,2872.0,2611.0,2421.0,2611.0,182.0
2016-06-08,3159.0,2872.0,2663.0,2872.0,264.0
2016-06-09,3060.0,3159.0,2929.0,3159.0,2308.0
2016-06-12,3080.0,3222.0,3000.0,3060.0,3620.0
2016-06-13,3200.0,3090.0,2951.0,3080.0,2236.0
2016-06-14,3199.0,3200.0,3020.0,3200.0,2484.0
2016-06-15,3155.0,3200.0,3127.0,3199.0,1360.0
2016-06-16,3150.0,3243.0,3150.0,3155.0,1352.0
2016-06-19,3150.0,3180.0,3040.0,3150.0,1480.0
2016-06-20,3155.0,3180.0,3003.0,3150.0,1500.0
2016-06-21,3208.0,3185.0,3150.0,3155.0,1088.0
2016-06-22,3171.0,3210.0,3130.0,3208.0,1128.0
2016-06-23,3075.0,3290.0,3155.0,3171.0,1228.0
2016-06-26,3080.0,3200.0,3068.0,3075.0,332.0
2016-06-27,3100.0,3125.0,3070.0,3080.0,762.0
2016-06-28,3209.0,3160.0,3050.0,3100.0,760.0
2016-06-29,3188.0,3232.0,3050.0,3209.0,2870.0
2016-06-30,3260.0,3273.0,3186.0,3188.0,736.0
2016-07-03,3289.0,3264.0,3200.0,3260.0,522.0
2016-07-04,3260.0,3326.0,3140.0,3289.0,1410.0
2016-07-05,3175.0,3264.0,3070.0,3260.0,2218.0
2016-07-06,3175.0,3200.0,3150.0,3175.0,410.0
2016-07-10,3150.0,3366.0,3170.0,3175.0,1552.0
2016-07-11,3150.0,3238.0,3132.0,3150.0,1376.0
2016-07-12,3260.0,3150.0,3017.0,3150.0,744.0
2016-07-13,3390.0,3304.0,3100.0,3260.0,2322.0
2016-07-14,3051.0,3400.0,3260.0,3390.0,2271.0
2016-07-17,3011.0,3323.0,3051.0,3051.0,362.0
2016-07-18,3020.0,3049.0,2746.0,3011.0,2374.0
2016-07-19,2940.0,3100.0,2931.0,3020.0,1596.0
2016-07-20,2952.0,3040.0,2882.0,2940.0,1604.0
2016-07-21,3162.0,2999.0,2941.0,2952.0,264.0
2016-07-25,3235.0,3162.0,2961.0,3162.0,1297.0
2016-07-26,3220.0,3235.0,3100.0,3235.0,2078.0
2016-07-27,3260.0,3365.0,3200.0,3220.0,916.0
2016-07-28,3392.0,3300.0,3156.0,3260.0,2012.0
2016-07-31,3400.0,3410.0,3300.0,3392.0,1834.0
2016-08-01,3397.0,3475.0,3325.0,3400.0,2102.0
2016-08-02,3350.0,3452.0,3351.0,3397.0,1963.0
2016-08-03,3300.0,3400.0,3250.0,3350.0,1281.0
2016-08-04,2449.0,3321.0,3255.0,3300.0,2810.0
2016-08-07,2254.0,2456.0,2277.0,2449.0,1750.0
2016-08-08,2310.0,2401.0,2254.0,2254.0,129.0
2016-08-10,2360.0,2437.0,2299.0,2310.0,832.0
