Date,Open,High,Low,Close,Volume
2010-04-15,2825.0,2850.0,2825.0,2831.0,693.0
2010-04-15,2825.0,2850.0,2825.0,2831.0,693.0
2010-04-15,2825.0,2850.0,2825.0,2831.0,693.0
2010-04-19,2790.0,2830.0,2790.0,2801.0,587.0
2010-04-20,2767.0,2798.0,2767.0,2767.0,957.0
2010-04-21,2595.0,2712.0,2595.0,2595.0,2207.0
2010-04-22,2523.0,2653.0,2523.0,2600.0,776.0
2010-04-25,2575.0,2600.0,2575.0,2591.0,1488.0
2010-04-26,2519.0,2599.0,2519.0,2519.0,798.0
2010-04-27,2450.0,2520.0,2450.0,2450.0,1255.0
2010-04-28,2403.0,2460.0,2403.0,2445.0,503.0
2010-04-29,2480.0,2650.0,2480.0,2650.0,552.0
2010-05-09,2560.0,2600.0,2560.0,2575.0,151.0
2010-05-10,2555.0,2610.0,2555.0,2610.0,1332.0
2010-05-11,2662.0,2762.0,2662.0,2721.0,1048.0
2010-05-12,2740.0,2881.0,2740.0,2810.0,2714.0
2010-05-13,2866.0,3020.0,2866.0,2920.0,3122.0
2010-05-16,2800.0,2901.0,2800.0,2830.0,1209.0
2010-05-17,2744.0,2850.0,2744.0,2850.0,918.0
2010-05-18,2900.0,2920.0,2900.0,2900.0,312.0
2010-05-19,2890.0,2975.0,2890.0,2952.0,1083.0
2010-05-20,2935.0,2978.0,2935.0,2978.0,938.0
2010-05-23,2920.0,3015.0,2920.0,3001.0,662.0
2010-05-24,2965.0,3020.0,2965.0,3020.0,286.0
2010-05-25,2980.0,3120.0,2980.0,3109.0,1232.0
2010-05-26,3110.0,3200.0,3110.0,3150.0,836.0
2010-05-30,3200.0,3400.0,3200.0,3400.0,3034.0
2010-05-31,3235.0,3470.0,3235.0,3250.0,2381.0
2010-06-01,3000.0,3280.0,3000.0,3280.0,1923.0
2010-06-02,3176.0,3290.0,3176.0,3200.0,1362.0
2010-06-03,3215.0,3299.0,3215.0,3250.0,1035.0
2010-06-06,3200.0,3250.0,3200.0,3200.0,350.0
2010-06-07,3080.0,3200.0,3080.0,3200.0,979.0
2010-06-08,3150.0,3250.0,3150.0,3250.0,887.0
2010-06-09,3245.0,3315.0,3245.0,3290.0,506.0
2010-06-10,3250.0,3305.0,3250.0,3265.0,1432.0
2010-06-13,3220.0,3255.0,3220.0,3220.0,681.0
2010-06-14,3200.0,3240.0,3200.0,3200.0,289.0
2010-06-15,3171.0,3245.0,3171.0,3200.0,215.0
2010-06-16,3175.0,3205.0,3175.0,3195.0,490.0
2010-06-17,3130.0,3225.0,3130.0,3190.0,526.0
2010-06-20,3190.0,3200.0,3190.0,3200.0,35.0
2010-06-21,3120.0,3200.0,3120.0,3120.0,150.0
2010-06-22,3100.0,3182.0,3100.0,3115.0,433.0
2010-06-23,3040.0,3130.0,3040.0,3040.0,710.0
2010-06-24,2980.0,3010.0,2980.0,3010.0,913.0
2010-06-28,2920.0,2990.0,2920.0,2990.0,970.0
2010-06-29,2900.0,2980.0,2900.0,2900.0,1673.0
2010-06-30,2900.0,2920.0,2900.0,2920.0,443.0
2010-07-01,2978.0,3150.0,2978.0,3000.0,1278.0
2010-07-04,2900.0,3000.0,2900.0,2975.0,1391.0
2010-07-05,2920.0,2998.0,2920.0,2998.0,1186.0
2010-07-06,2920.0,3146.0,2920.0,3146.0,1019.0
2010-07-07,2910.0,3084.0,2910.0,2930.0,2070.0
2010-07-08,2920.0,2965.0,2920.0,2925.0,2136.0
2010-07-11,2905.0,2950.0,2905.0,2925.0,1122.0
2010-07-12,2920.0,3012.0,2920.0,3012.0,1594.0
2010-07-13,3000.0,3100.0,3000.0,3100.0,185.0
2010-07-14,3000.0,3060.0,3000.0,3060.0,145.0
